INVENTARIO DE MOVIMIENTO DE GANADO BOVINO DE ENERO > DICIEMBRE DEL 2026;;;;;;;;;;;
D E T A L L E;V  A  C  A  S;;NOVILLA;C  R  I  A  S;;HEMBRAS;NOVILLOS;REPRODUCTORES;;ANIMALES TRAB;EXISTENCIA
;PARIDAS;SECAS;VIENTRE;MACHOS;HEMBRAS;LEVANTE;DESARROLLO;TOROS;TORETES;BUEYES;FINAL
Inventario Inicial;90;78;53;46;44;120;0;14;5;2;452
Compras;0;0;0;0;0;0;0;0;0;0;0
Nacimiento;0;0;0;2;0;0;0;0;0;0;2
Entradas;2;0;0;0;0;0;0;0;0;0;2
Ventas;0;0;0;0;0;28;0;0;0;0;28
Muertes;0;0;0;0;0;0;0;0;0;0;0
Saladas;0;2;0;0;0;1;0;0;0;0;3
Inventario Final;92;76;53;48;44;91;0;14;5;2;425
;;;;;;;;;;;
TOTAL  ESTELI;310;133;137;138;172;271;16;47;9;14;1247
;;;;;;;;;;;
;;;;;;;;;;;
INVENTARIO DE MOVIMIENTO DE GANADO BOVINO DE ENERO > DICIEMBRE DEL 2026;;;;;;;;;;;
D E T A L L E;V  A  C  A  S;;NOVILLA;C  R  I  A  S;;HEMBRAS;NOVILLOS;REPRODUCTORES;;ANIMALES TRAB;EXISTENCIA
;PARIDAS;SECAS;VIENTRE;MACHOS;HEMBRAS;LEVANTE;DESARROLLO;TOROS;TORETES;BUEYES;FINAL
F  I  N  C  A      EL       C  O  R  O  J  A  L       J  A  L  A  P  A;;;;;;;;;;;
Inventario Inicial;384;178;143;164;220;154;31;25;0;0;1299
Compras;0;0;0;0;0;0;0;0;0;0;0
Nacimiento;0;0;0;26;19;0;0;0;0;0;45
Entradas;45;0;0;0;0;0;63;0;0;0;108
Ventas;0;0;0;0;0;31;72;0;0;0;103
Muertes;0;0;0;1;0;1;0;0;0;0;2
Salidas;0;45;0;63;0;0;0;0;0;0;108
Inventario Final;429;133;143;126;239;122;22;25;0;0;1239
;;;;;;;;;;;
TOTAL   JALAPA;429;133;143;126;239;122;22;25;0;0;1239
;;;;;;;;;;;
TOTAL GENERAL;739;266;280;264;411;393;38;72;9;14;2486
